Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
14396 30th Av Ne,Auto Fire Alarm,11/15/2015 11:19:00 PM +0000,47.732881,-122.296531,"(47.732881, -122.296531)",F150131240
1501 Pike Pl,Auto Fire Alarm,11/15/2015 10:21:00 PM +0000,47.608629,-122.340472,"(47.608629, -122.340472)",F150131217
4521 17th Av Ne,Auto Fire Alarm,11/15/2015 09:29:00 PM +0000,47.66144,-122.309722,"(47.66144, -122.309722)",F150131206
4536 16th Av Ne,Auto Fire Alarm,11/15/2015 09:20:00 PM +0000,47.66158,-122.310854,"(47.66158, -122.310854)",F150131201
4327 8th Av Ne,Auto Fire Alarm,11/15/2015 06:07:00 PM +0000,47.659703,-122.319781,"(47.659703, -122.319781)",F150131136
1501 W Galer St,Auto Fire Alarm,11/15/2015 04:22:00 PM +0000,47.631625,-122.376713,"(47.631625, -122.376713)",F150131096
1414 10th Av,Auto Fire Alarm,11/15/2015 01:51:00 PM +0000,47.613092,-122.319437,"(47.613092, -122.319437)",F150131061
5215 46th Av S,Auto Fire Alarm,11/15/2015 12:04:00 PM +0000,47.555097,-122.27537,"(47.555097, -122.27537)",F150131040
509 3rd Av,Auto Fire Alarm,11/15/2015 08:03:00 AM +0000,47.602114,-122.330809,"(47.602114, -122.330809)",F150130976
1229 Madison St,Auto Fire Alarm,11/15/2015 07:26:00 AM +0000,47.60994,-122.3237,"(47.60994, -122.3237)",F150130963
2901 Ne Blakeley St,Auto Fire Alarm,11/15/2015 06:10:00 AM +0000,47.665915,-122.296743,"(47.665915, -122.296743)",F150130940
7500 East Marginal Way S,Auto Fire Alarm,11/15/2015 03:49:00 AM +0000,47.535372,-122.315012,"(47.535372, -122.315012)",F150130890
7728 Rainier Av S,Auto Fire Alarm,11/15/2015 03:43:00 AM +0000,47.533365,-122.269987,"(47.533365, -122.269987)",F150130887
269 E Boston St,Auto Fire Alarm,11/15/2015 02:56:00 AM +0000,47.638247,-122.323464,"(47.638247, -122.323464)",F150130864
3515 S Alaska St,Auto Fire Alarm,11/15/2015 02:14:00 AM +0000,47.560753,-122.288649,"(47.560753, -122.288649)",F150130846
9201 Rainier Av S,Auto Fire Alarm,11/15/2015 02:01:00 AM +0000,47.52101,-122.269997,"(47.52101, -122.269997)",F150130838
1819 23rd Av,Auto Fire Alarm,11/15/2015 01:31:00 AM +0000,47.617882,-122.302573,"(47.617882, -122.302573)",F150130832
6004 12th Av S,Auto Fire Alarm,11/14/2015 11:42:00 PM +0000,47.54915,-122.317312,"(47.54915, -122.317312)",F150130805
125 16th Av E,Auto Fire Alarm,11/14/2015 11:41:00 PM +0000,47.618801,-122.311432,"(47.618801, -122.311432)",F150130806
9201 Rainier Av S,Auto Fire Alarm,11/14/2015 08:55:00 PM +0000,47.52101,-122.269997,"(47.52101, -122.269997)",F150130765
11030 5th Av Ne,Auto Fire Alarm,11/14/2015 08:51:00 PM +0000,47.709488,-122.323301,"(47.709488, -122.323301)",F150130762
106 Bell St,Auto Fire Alarm,11/14/2015 08:30:00 PM +0000,47.613416,-122.34646,"(47.613416, -122.34646)",F150130755
10000 Aurora Av N,Auto Fire Alarm,11/14/2015 07:22:00 PM +0000,47.70143,-122.344651,"(47.70143, -122.344651)",F150130740
221 18th Av S,Auto Fire Alarm,11/14/2015 06:26:00 PM +0000,47.600659,-122.308964,"(47.600659, -122.308964)",F150130721
2701 Utah Av S,Auto Fire Alarm,11/14/2015 03:06:00 PM +0000,47.5798,-122.335125,"(47.5798, -122.335125)",F150130679
500 17th Av,Auto Fire Alarm,11/14/2015 10:28:00 AM +0000,47.606176,-122.310249,"(47.606176, -122.310249)",F150130648
901 Pine St,Auto Fire Alarm,11/14/2015 07:06:00 AM +0000,47.613533,-122.332031,"(47.613533, -122.332031)",F150130588
1101 Pike St,Auto Fire Alarm,11/14/2015 06:26:00 AM +0000,47.613471,-122.328902,"(47.613471, -122.328902)",F150130568
6700 Roosevelt Way Ne,Auto Fire Alarm,11/14/2015 01:36:00 AM +0000,47.677283,-122.317383,"(47.677283, -122.317383)",F150130481
306 6th Av S,Auto Fire Alarm,11/14/2015 12:50:00 AM +0000,47.599981,-122.326357,"(47.599981, -122.326357)",F150130467
11050 8th Av Ne,Auto Fire Alarm,11/14/2015 12:07:00 AM +0000,47.708935,-122.320569,"(47.708935, -122.320569)",F150130448
