Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Rainier Av S / 51st Av S,Wires Down,08/13/2015 07:45:00 PM +0000,47.520147,-122.269719,"(47.520147, -122.269719)",F150092204
Ne 45th St / 15th Av Ne,Wires Down,08/12/2015 12:27:00 AM +0000,47.661262,-122.311993,"(47.661262, -122.311993)",F150091289
3727 S Pilgrim St,Wires Down,08/09/2015 07:49:00 PM +0000,47.515716,-122.285779,"(47.515716, -122.285779)",F150090288
41st Av E / E Galer St,Wires Down,08/09/2015 05:50:00 AM +0000,47.632155,-122.279932,"(47.632155, -122.279932)",F150090108
9236 Renton Av S,Wires Down,08/08/2015 03:09:00 AM +0000,47.520114,-122.272516,"(47.520114, -122.272516)",F150089621
2324 W Newton St,Wires Down,08/07/2015 09:27:00 PM +0000,47.637002,-122.386837,"(47.637002, -122.386837)",F150089498
NE 103RD ST / 5TH AV NE,Wires Down,08/03/2015 11:56:00 PM +0000,47.70314,-122.323148,"(47.70314, -122.323148)",F150087760
1709 Dexter Av N,Wires Down,08/01/2015 08:39:00 PM +0000,47.634051,-122.342284,"(47.634051, -122.342284)",F150086638
1908 8th Av W,Wires Down,07/25/2015 04:54:00 AM +0000,47.636018,-122.367678,"(47.636018, -122.367678)",F150083260
1012 8th Av S,Wires Down,07/21/2015 02:48:00 PM +0000,47.593975,-122.322474,"(47.593975, -122.322474)",F150081660
7217 9th Av Ne,Wires Down,07/20/2015 04:12:00 AM +0000,47.680988,-122.318771,"(47.680988, -122.318771)",F150081070
8232 18th Av Ne,Wires Down,07/20/2015 02:50:00 AM +0000,47.688691,-122.308969,"(47.688691, -122.308969)",F150081039
4811 Rutan Pl Sw,Wires Down,07/20/2015 12:53:00 AM +0000,47.559272,-122.38887,"(47.559272, -122.38887)",F150080980
1330 12th Av S,Wires Down,07/19/2015 09:55:00 PM +0000,47.591305,-122.317281,"(47.591305, -122.317281)",F150080865
6723 S 112th Pl,Wires Down,07/19/2015 08:37:00 PM +0000,47.502529,-122.250332,"(47.502529, -122.250332)",F150080840
37th Av W / W Barrett St,Wires Down,07/19/2015 07:53:00 PM +0000,47.646813,-122.404678,"(47.646813, -122.404678)",F150080823
6528 16th Av Ne,Wires Down,07/18/2015 03:12:00 AM +0000,47.675947,-122.310861,"(47.675947, -122.310861)",F150080005
2737 W Commodore Way,Wires Down,07/16/2015 03:26:00 AM +0000,47.662431,-122.39152,"(47.662431, -122.39152)",F150079053
Mcgilvra Blvd E / E Blaine St,Wires Down,07/14/2015 08:21:00 PM +0000,47.634575,-122.281191,"(47.634575, -122.281191)",F150078461
3100 Fairview Av E,Wires Down,07/08/2015 10:55:00 PM +0000,47.649148,-122.32447,"(47.649148, -122.32447)",F150075962
