Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
28th Av W / W Galer St,Motor Vehicle Incident,12/16/2014 03:30:00 PM +0000,47.632304,-122.393008,"(47.632304, -122.393008)",F140136415
23rd Av E / E Madison St,Motor Vehicle Incident,12/16/2014 07:16:00 AM +0000,47.619171,-122.302547,"(47.619171, -122.302547)",F140136342
12739 Lake City Way Ne,Motor Vehicle Incident,12/16/2014 02:38:00 AM +0000,47.721346,-122.294014,"(47.721346, -122.294014)",F140136279
12700 Lake City Way Ne,Motor Vehicle Incident,12/16/2014 02:04:00 AM +0000,47.721091,-122.294161,"(47.721091, -122.294161)",F140136267
46th Av Sw / Marine View Dr Sw,Motor Vehicle Incident,12/16/2014 12:39:00 AM +0000,47.515122,-122.391453,"(47.515122, -122.391453)",F140136244
23rd Av S / S Jackson St,Motor Vehicle Incident,12/16/2014 12:23:00 AM +0000,47.599281,-122.302233,"(47.599281, -122.302233)",F140136235
Boren Av / Madison St,Motor Vehicle Incident,12/15/2014 10:58:00 PM +0000,47.609338,-122.325139,"(47.609338, -122.325139)",F140136207
N 115th St / Greenwood Av N,Motor Vehicle Incident,12/15/2014 10:11:00 PM +0000,47.712345,-122.355508,"(47.712345, -122.355508)",F140136189
Rainier Av S / S Genesee St,Motor Vehicle Incident,12/15/2014 09:59:00 PM +0000,47.564095,-122.288186,"(47.564095, -122.288186)",F140136178
Thomas St / Dexter Av N,Motor Vehicle Incident,12/15/2014 09:35:00 PM +0000,47.620888,-122.342382,"(47.620888, -122.342382)",F140136166
,Motor Vehicle Incident,12/15/2014 04:40:00 PM +0000,,,"(0, 0)",F140136059
105 5th Av S,Motor Vehicle Incident,12/15/2014 04:35:00 PM +0000,47.601643,-122.327656,"(47.601643, -122.327656)",F140136056
,Motor Vehicle Incident,12/15/2014 04:33:00 PM +0000,,,"(0, 0)",F140136055
,Motor Vehicle Incident,12/15/2014 04:33:00 PM +0000,,,"(0, 0)",F140136054
